Name,green length,green width
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\1', 'Soehoejlandet Golf ResortP_S_1000_03.png']",36,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\2', 'Soehoejlandet Golf ResortP_S_1000_02.png']",33,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\3', 'sonderjyllands_1250_001.png']",25,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\4', 'Soehoejlandet Golf ResortP_S_2000_09.png']",30,14
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\5', 'Soehoejlandet Golf ResortP_S_2000_07.png']",23,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\6', 'sonderjyllands_1250_002.png']",24,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\7', 'Soehoejlandet Golf ResortP_S_2000_06.png']",28,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\8', 'Soelleroed Golfklub_2000_14.png']",26,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\9', 'sonderborg_1500_016.png']",26,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\10', 'sonderborg_2000_021.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\11', 'sonderborg_1500_006.png']",23,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\12', 'tange_so_2000_016.png']",18,11
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\13', 'Soelleroed Golfklub_2000_02.png']",25,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\14', 'tange_so_1500_017.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\15', 'tange_so_2000_014.png']",29,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\16', 'Soelleroed Golfklub_2000_01.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\17', 'sonderborg_2000_020.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\18', 'sonderjyllands_2000_16.png']",31,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\19', 'tange_so_2000_012.png']",23,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\20', 'Soelleroed Golfklub_2000_03.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\21', 'sonderborg_1500_015.png']",27,24
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\22', 'tange_so_2000_015.png']",22,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\23', 'Soehoejlandet Golf ResortP_S_1000_07.png']",34,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\24', 'Soelleroed Golfklub_2000_04.png']",23,11
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\25', 'Soelleroed Golfklub_2000_18.png']",34,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\26', 'sonderborg_1500_012.png']",27,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\27', 'Soehoejlandet Golf ResortP_S_2000_12.png']",20,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\28', 'sonderborg_1500_017.png']",28,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\29', 'sonderborg_1500_008.png']",25,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\30', 'tange_so_1000_002.png']",25,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\31', 'tange_so_1500_015.png']",31,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\33', 'tange_so_1500_010.png']",24,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\34', 'tange_so_1250_006.png']",23,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\35', 'Soelleroed Golfklub_2000_10.png']",28,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\36', 'Soehoejlandet Golf ResortP_S_1000_04.png']",39,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\37', 'sonderjyllands_1500_011.png']",21,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\38', 'sonderborg_1500_014.png']",26,24
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\39', 'sonderborg_1500_002.png']",24,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\40', 'tange_so_1500_007.png']",27,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\41', 'Soehoejlandet Golf ResortP_S_2000_02.png']",27,8
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\42', 'Soehoejlandet Golf ResortP_S_1000_01.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\43', 'Soehoejlandet Golf ResortP_S_2000_10.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\44', 'sonderborg_1500_011.png']",19,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\45', 'sonderborg_1500_004.png']",4,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\46', 'tange_so_1250_005.png']",23,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\47', 'Soelleroed Golfklub_2000_17.png']",25,9
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\48', 'sonderborg_1500_007.png']",28,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\49', 'Soelleroed Golfklub_2000_19.png']",38,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\50', 'sonderborg_1500_005.png']",22,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\51', 'Soelleroed Golfklub_2000_13.png']",29,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\52', 'sonderjyllands_1500_013.png']",30,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\53', 'Soelleroed Golfklub_2000_06.png']",29,24
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\54', 'Soelleroed Golfklub_2000_07.png']",16,12
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\55', 'tange_so_1500_016.png']",28,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\56', 'Soehoejlandet Golf ResortP_S_2000_03.png']",40,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\57', 'Soelleroed Golfklub_2000_15.png']",30,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\58', 'Soelleroed Golfklub_2000_21.png']",30,12
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\59', 'sonderborg_1500_003.png']",27,26
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\60', 'Soelleroed Golfklub_2000_09.png']",22,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\61', 'Soelleroed Golfklub_1000_02.png']",25,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\62', 'sonderjyllands_1250_003.png']",24,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\63', 'tange_so_1500_011.png']",25,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\64', 'tange_so_1000_004.png']",30,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\65', 'sonderjyllands_1500_012.png']",22,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\66', 'sonderjyllands_1500_005.png']",30,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\67', 'Soehoejlandet Golf ResortP_S_1000_05.png']",28,26
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\68', 'tange_so_1000_003.png']",25,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\69', 'sonderborg_1500_013.png']",20,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\70', 'Soelleroed Golfklub_2000_20.png']",47,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\71', 'Soelleroed Golfklub_2000_05.png']",33,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\72', 'sonderborg_2000_019.png']",31,23
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\73', 'Soelleroed Golfklub_2000_12.png']",25,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\74', 'sonderborg_1500_009.png']",21,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\75', 'tange_so_1500_009.png']",19,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\76', 'tange_so_1500_008.png']",29,12
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\77', 'sonderborg_1500_001.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\78', 'tange_so_1000_001.png']",28,14
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\79', 'Soehoejlandet Golf ResortP_S_2000_01.png']",10,4
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\80', 'Soelleroed Golfklub_2000_11.png']",26,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\81', 'Soelleroed Golfklub_1000_01.png']",30,14
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\82', 'Soehoejlandet Golf ResortP_S_2000_08.png']",26,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\83', 'sonderjyllands_1500_008.png']",25,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\84', 'Soelleroed Golfklub_1000_03.png']",31,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\85', 'sonderjyllands_1500_014.png']",33,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\86', 'sonderjyllands_1250_004.png']",27,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\87', 'Soelleroed Golfklub_2000_16.png']",29,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\88', 'sonderjyllands_1500_009.png']",31,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\89', 'Soehoejlandet Golf ResortP_S_2000_04.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\90', 'Soehoejlandet Golf ResortP_S_2000_05.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\91', 'sonderjyllands_1500_015.png']",27,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\92', 'sonderborg_1500_010.png']",22,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\93', 'sonderborg_1500_018.png']",21,18
